,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,2,Thu May 23 18:24:15 2019,Thu May 23 18:24:56 2019,9.5774,41.4326
1,3,Thu May 23 18:24:56 2019,Thu May 23 18:26:07 2019,34.7505,70.4991
2,4,Thu May 23 18:26:07 2019,Thu May 23 18:26:55 2019,15.3821,47.8581
3,6,Thu May 23 18:27:39 2019,Thu May 23 18:28:19 2019,12.1423,40.0253
4,7,Thu May 23 18:28:19 2019,Thu May 23 18:29:05 2019,4.819,45.4981
5,8,Thu May 23 18:29:05 2019,Thu May 23 18:30:06 2019,20.4805,61.2226
6,9,Thu May 23 18:30:06 2019,Thu May 23 18:31:01 2019,19.4268,55.2703
7,10,Thu May 23 18:31:01 2019,Thu May 23 18:31:53 2019,14.6963,51.4761
8,11,Thu May 23 18:31:53 2019,Thu May 23 18:32:34 2019,14.126,41.4933
9,12,Thu May 23 18:32:34 2019,Thu May 23 18:33:25 2019,12.69,50.6524
10,13,Thu May 23 18:33:25 2019,Thu May 23 18:34:13 2019,12.5995,48.4656
11,14,Thu May 23 18:34:13 2019,Thu May 23 18:34:57 2019,4.249,43.4805
12,15,Thu May 23 18:34:57 2019,Thu May 23 18:35:51 2019,10.7379,54.3248
13,16,Thu May 23 18:35:51 2019,Thu May 23 18:36:37 2019,15.0551,45.6351
14,17,Thu May 23 18:36:37 2019,Thu May 23 18:37:30 2019,17.9124,53.1999
15,18,Thu May 23 18:37:30 2019,Thu May 23 18:38:21 2019,17.7502,51.2483
16,19,Thu May 23 18:38:21 2019,Thu May 23 18:39:24 2019,33.1626,62.6879
17,20,Thu May 23 18:39:24 2019,Thu May 23 18:40:09 2019,11.0267,45.432
18,21,Thu May 23 18:40:09 2019,Thu May 23 18:40:48 2019,12.9708,38.9286
19,22,Thu May 23 18:40:48 2019,Thu May 23 18:41:30 2019,6.4825,41.8276
20,23,Thu May 23 18:41:30 2019,Thu May 23 18:42:09 2019,10.168,38.5377
21,24,Thu May 23 18:42:09 2019,Thu May 23 18:42:49 2019,3.573,40.7444
22,25,Thu May 23 18:42:49 2019,Thu May 23 18:43:26 2019,6.2137,36.649
23,26,Thu May 23 18:43:26 2019,Thu May 23 18:44:10 2019,14.1434,43.9369
24,27,Thu May 23 18:44:10 2019,Thu May 23 18:44:51 2019,9.0695,40.7451
25,28,Thu May 23 18:44:51 2019,Thu May 23 18:46:28 2019,67.9405,97.4195
