,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,Thu May 23 18:22:16 2019,Thu May 23 18:22:41 2019,4.2701,24.7259
1,3,Thu May 23 18:23:30 2019,Thu May 23 18:26:22 2019,5.8018,171.4596
2,4,Thu May 23 18:26:22 2019,Thu May 23 18:26:59 2019,5.1021,36.899
3,5,Thu May 23 18:26:59 2019,Thu May 23 18:27:33 2019,3.8828,34.2733
4,6,Thu May 23 18:27:33 2019,Thu May 23 18:28:12 2019,7.5177,39.4763
5,14,Thu May 23 18:32:58 2019,Thu May 23 18:33:35 2019,3.6371,37.0877
6,15,Thu May 23 18:33:35 2019,Thu May 23 18:34:08 2019,5.6041,33.2199
7,16,Thu May 23 18:34:08 2019,Thu May 23 18:34:43 2019,3.8652,34.0906
8,17,Thu May 23 18:34:43 2019,Thu May 23 18:35:21 2019,5.7764,37.9809
9,18,Thu May 23 18:35:21 2019,Thu May 23 18:35:55 2019,3.8182,34.6544
10,19,Thu May 23 18:35:55 2019,Thu May 23 18:36:30 2019,3.8149,34.6038
11,20,Thu May 23 18:36:30 2019,Thu May 23 18:37:08 2019,5.1727,37.7546
12,21,Thu May 23 18:37:08 2019,Thu May 23 18:37:43 2019,3.8262,35.7634
13,22,Thu May 23 18:37:43 2019,Thu May 23 18:38:13 2019,4.4455,29.3363
14,23,Thu May 23 18:38:13 2019,Thu May 23 18:38:49 2019,4.7635,36.1029
15,25,Thu May 23 18:39:20 2019,Thu May 23 18:39:52 2019,4.4287,31.4675
16,26,Thu May 23 18:39:52 2019,Thu May 23 18:40:31 2019,4.5835,39.7084
17,31,Thu May 23 18:42:44 2019,Thu May 23 18:43:17 2019,4.9941,33.1106
18,32,Thu May 23 18:43:17 2019,Thu May 23 18:43:52 2019,4.5292,35.2288
19,33,Thu May 23 18:43:52 2019,Thu May 23 18:44:29 2019,5.0346,36.6408
20,34,Thu May 23 18:44:29 2019,Thu May 23 18:44:58 2019,4.1151,29.2776
21,35,Thu May 23 18:44:58 2019,Thu May 23 18:45:31 2019,4.5812,32.5216
22,36,Thu May 23 18:45:31 2019,Thu May 23 18:46:06 2019,5.8579,35.7994
23,37,Thu May 23 18:46:06 2019,Thu May 23 18:46:42 2019,4.4253,35.472
24,38,Thu May 23 18:46:42 2019,Thu May 23 18:47:16 2019,4.0558,34.1765
25,39,Thu May 23 18:47:16 2019,Thu May 23 18:47:51 2019,5.7228,35.3867
26,40,Thu May 23 18:47:51 2019,Thu May 23 18:48:27 2019,3.7571,35.5227
27,41,Thu May 23 18:48:27 2019,Thu May 23 18:48:57 2019,4.3484,29.9074
28,42,Thu May 23 18:48:57 2019,Thu May 23 18:49:32 2019,4.0614,34.6774
29,43,Thu May 23 18:49:32 2019,Thu May 23 18:50:03 2019,4.4662,31.7554
30,45,Thu May 23 18:50:39 2019,Thu May 23 18:51:09 2019,4.472,29.953
31,47,Thu May 23 18:51:44 2019,Thu May 23 18:52:19 2019,4.294,35.5839
32,48,Thu May 23 18:52:19 2019,Thu May 23 18:52:52 2019,4.7897,33.1345
33,49,Thu May 23 18:52:52 2019,Thu May 23 18:53:22 2019,4.6744,29.4873
34,50,Thu May 23 18:53:22 2019,Thu May 23 18:53:58 2019,3.219,36.2526
35,51,Thu May 23 18:53:58 2019,Thu May 23 18:54:34 2019,4.1604,36.229
36,52,Thu May 23 18:54:34 2019,Thu May 23 18:55:07 2019,4.2977,32.64
37,53,Thu May 23 18:55:07 2019,Thu May 23 18:55:42 2019,4.8546,35.5732
38,54,Thu May 23 18:55:42 2019,Thu May 23 18:56:18 2019,4.1852,35.1306
39,55,Thu May 23 18:56:18 2019,Thu May 23 18:56:51 2019,3.8033,33.0643
40,56,Thu May 23 18:56:51 2019,Thu May 23 18:57:23 2019,4.2508,32.6026
41,57,Thu May 23 18:57:23 2019,Thu May 23 18:57:58 2019,4.6502,34.5769
42,58,Thu May 23 18:57:58 2019,Thu May 23 18:58:33 2019,3.6765,35.2729
43,59,Thu May 23 18:58:33 2019,Thu May 23 18:59:09 2019,3.9654,35.3723
44,60,Thu May 23 18:59:09 2019,Thu May 23 18:59:44 2019,3.9283,35.3807
45,61,Thu May 23 18:59:44 2019,Thu May 23 19:00:28 2019,8.4456,43.6144
46,62,Thu May 23 19:00:28 2019,Thu May 23 19:01:05 2019,3.2825,37.831
47,67,Thu May 23 19:03:31 2019,Thu May 23 19:04:05 2019,4.3333,34.3067
48,68,Thu May 23 19:04:05 2019,Thu May 23 19:04:35 2019,4.458,29.3693
49,69,Thu May 23 19:04:35 2019,Thu May 23 19:05:09 2019,4.3363,34.3834
50,70,Thu May 23 19:05:09 2019,Thu May 23 19:05:41 2019,3.8622,31.8214
51,71,Thu May 23 19:05:41 2019,Thu May 23 19:06:14 2019,3.8417,32.7571
52,72,Thu May 23 19:06:14 2019,Thu May 23 19:06:48 2019,3.7508,34.488
