,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,Thu May 23 18:22:07 2019,Thu May 23 18:22:19 2019,3.1982,12.0659
1,2,Thu May 23 18:22:19 2019,Thu May 23 18:22:30 2019,3.2258,10.5553
2,3,Thu May 23 18:22:30 2019,Thu May 23 18:22:41 2019,3.3328,11.0432
3,4,Thu May 23 18:22:41 2019,Thu May 23 18:22:53 2019,3.2828,11.9324
4,6,Thu May 23 18:23:06 2019,Thu May 23 18:23:18 2019,3.3938,12.1958
5,9,Thu May 23 18:23:45 2019,Thu May 23 18:24:00 2019,3.2754,14.814
6,11,Thu May 23 18:24:15 2019,Thu May 23 18:24:28 2019,3.2776,12.9146
7,13,Thu May 23 18:24:41 2019,Thu May 23 18:24:56 2019,3.4706,14.4044
8,14,Thu May 23 18:24:56 2019,Thu May 23 18:25:09 2019,3.268,13.5414
9,17,Thu May 23 18:25:41 2019,Thu May 23 18:25:56 2019,3.3907,14.6612
10,18,Thu May 23 18:25:56 2019,Thu May 23 18:26:11 2019,4.7361,15.3312
11,21,Thu May 23 18:26:45 2019,Thu May 23 18:27:00 2019,5.1146,15.3688
12,25,Thu May 23 18:27:49 2019,Thu May 23 18:28:07 2019,3.9951,18.164
