,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,Thu May 23 18:22:11 2019,Thu May 23 18:22:24 2019,3.2511,12.565
1,2,Thu May 23 18:22:24 2019,Thu May 23 18:22:37 2019,3.4071,13.5199
2,3,Thu May 23 18:22:37 2019,Thu May 23 18:22:54 2019,3.352,16.6643
3,6,Thu May 23 18:23:27 2019,Thu May 23 18:23:58 2019,3.75,31.1332
4,7,Thu May 23 18:23:58 2019,Thu May 23 18:24:25 2019,3.5448,26.6562
5,8,Thu May 23 18:24:25 2019,Thu May 23 18:24:54 2019,4.2539,29.086
6,9,Thu May 23 18:24:54 2019,Thu May 23 18:25:18 2019,5.0697,24.1284
7,11,Thu May 23 18:25:49 2019,Thu May 23 18:26:11 2019,5.5006,22.0498
8,12,Thu May 23 18:26:11 2019,Thu May 23 18:26:35 2019,6.4023,23.8342
9,13,Thu May 23 18:26:35 2019,Thu May 23 18:27:02 2019,6.0427,27.0279
10,14,Thu May 23 18:27:02 2019,Thu May 23 18:27:29 2019,8.4782,27.2381
11,15,Thu May 23 18:27:29 2019,Thu May 23 18:27:54 2019,7.3184,25.031
12,16,Thu May 23 18:27:54 2019,Thu May 23 18:28:20 2019,6.8224,25.3299
13,20,Thu May 23 18:29:47 2019,Thu May 23 18:30:18 2019,9.82,30.9994
14,27,Thu May 23 18:33:19 2019,Thu May 23 18:33:46 2019,7.1489,27.0632
15,29,Thu May 23 18:34:11 2019,Thu May 23 18:34:34 2019,3.8461,22.9342
16,30,Thu May 23 18:34:34 2019,Thu May 23 18:34:58 2019,4.1406,23.8934
17,31,Thu May 23 18:34:58 2019,Thu May 23 18:35:21 2019,3.4938,23.8353
18,32,Thu May 23 18:35:21 2019,Thu May 23 18:35:45 2019,3.5882,23.8193
19,33,Thu May 23 18:35:45 2019,Thu May 23 18:36:09 2019,3.2945,24.2943
20,34,Thu May 23 18:36:09 2019,Thu May 23 18:36:33 2019,3.561,23.9108
21,35,Thu May 23 18:36:33 2019,Thu May 23 18:36:58 2019,3.437,24.2056
22,36,Thu May 23 18:36:58 2019,Thu May 23 18:37:21 2019,3.5491,23.9259
23,37,Thu May 23 18:37:21 2019,Thu May 23 18:37:44 2019,3.2754,22.6509
24,38,Thu May 23 18:37:44 2019,Thu May 23 18:38:09 2019,3.4336,24.7785
25,39,Thu May 23 18:38:09 2019,Thu May 23 18:38:33 2019,3.5469,23.7799
26,40,Thu May 23 18:38:33 2019,Thu May 23 18:38:56 2019,3.6001,23.4265
27,42,Thu May 23 18:39:20 2019,Thu May 23 18:39:44 2019,3.498,24.2555
28,44,Thu May 23 18:40:11 2019,Thu May 23 18:40:30 2019,3.7791,18.5092
29,47,Thu May 23 18:41:12 2019,Thu May 23 18:41:35 2019,3.7315,22.2193
30,49,Thu May 23 18:41:55 2019,Thu May 23 18:42:18 2019,3.3763,22.3234
31,50,Thu May 23 18:42:18 2019,Thu May 23 18:42:43 2019,3.6985,25.3866
32,52,Thu May 23 18:43:02 2019,Thu May 23 18:43:21 2019,3.5134,19.1421
33,53,Thu May 23 18:43:21 2019,Thu May 23 18:43:42 2019,3.4013,20.3339
34,54,Thu May 23 18:43:42 2019,Thu May 23 18:44:01 2019,3.7567,19.1775
35,55,Thu May 23 18:44:01 2019,Thu May 23 18:44:22 2019,3.466,20.6482
36,57,Thu May 23 18:44:42 2019,Thu May 23 18:45:03 2019,3.2533,20.7468
