,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,Thu May 23 18:22:32 2019,Thu May 23 18:22:49 2019,3.4721,16.8604
1,2,Thu May 23 18:22:49 2019,Thu May 23 18:23:09 2019,3.6531,20.0097
2,4,Thu May 23 18:23:27 2019,Thu May 23 18:23:59 2019,4.6753,32.0161
3,6,Thu May 23 18:24:26 2019,Thu May 23 18:24:51 2019,3.6146,24.6625
4,11,Thu May 23 18:26:33 2019,Thu May 23 18:27:03 2019,8.9915,30.6617
5,15,Thu May 23 18:28:20 2019,Thu May 23 18:28:45 2019,9.2435,25.4576
6,21,Thu May 23 18:31:22 2019,Thu May 23 18:31:55 2019,12.6281,33.0246
7,23,Thu May 23 18:32:21 2019,Thu May 23 18:32:47 2019,3.8377,25.9308
8,24,Thu May 23 18:32:47 2019,Thu May 23 18:33:05 2019,3.6983,18.4872
9,27,Thu May 23 18:33:43 2019,Thu May 23 18:34:04 2019,3.5833,20.1892
10,31,Thu May 23 18:35:00 2019,Thu May 23 18:35:16 2019,3.4618,16.2565
11,32,Thu May 23 18:35:16 2019,Thu May 23 18:35:32 2019,3.4745,15.8242
12,33,Thu May 23 18:35:32 2019,Thu May 23 18:35:48 2019,3.7422,15.4425
13,34,Thu May 23 18:35:48 2019,Thu May 23 18:36:02 2019,3.3858,14.6814
14,35,Thu May 23 18:36:02 2019,Thu May 23 18:36:16 2019,3.3378,13.8276
15,36,Thu May 23 18:36:16 2019,Thu May 23 18:36:31 2019,3.224,14.4082
16,37,Thu May 23 18:36:31 2019,Thu May 23 18:36:46 2019,3.5645,14.9825
17,38,Thu May 23 18:36:46 2019,Thu May 23 18:37:01 2019,3.4445,15.3278
18,39,Thu May 23 18:37:01 2019,Thu May 23 18:37:15 2019,3.4772,14.005
19,40,Thu May 23 18:37:15 2019,Thu May 23 18:37:30 2019,3.4219,15.0972
