,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,09:41:09,09:41:17,3.1549,8.071
1,2,09:41:17,09:41:24,3.1874,7.7192
2,3,09:41:24,09:41:32,3.1667,7.4664
3,4,09:41:32,09:41:39,3.1677,7.5683
4,5,09:41:39,09:41:47,3.1584,7.4109
5,6,09:41:47,09:41:54,3.1561,7.4308
6,7,09:41:54,09:42:02,3.1508,7.4063
7,8,09:42:02,09:42:09,3.1571,7.4471
8,9,09:42:09,09:42:16,3.1677,7.4195
9,10,09:42:16,09:42:24,3.1708,7.5164
10,11,09:42:24,09:42:31,3.1552,7.445
11,12,09:42:31,09:42:39,3.1732,7.4664
12,13,09:42:39,09:42:46,3.1596,7.5527
13,14,09:42:46,09:42:54,3.1528,7.5818
14,15,09:42:54,09:43:01,3.1516,7.4318
15,16,09:43:01,09:43:09,3.1497,7.4689
16,17,09:43:09,09:43:16,3.1513,7.4869
17,18,09:43:16,09:43:24,3.1589,7.5948
18,19,09:43:24,09:43:32,3.1603,7.633
19,20,09:43:32,09:43:39,3.1529,7.4997
20,21,09:43:39,09:43:47,3.1691,7.6508
21,22,09:43:47,09:43:54,3.1629,7.5279
22,23,09:43:54,09:44:02,3.1602,7.6236
23,24,09:44:02,09:44:10,3.1906,7.6362
24,25,09:44:10,09:44:17,3.1561,7.596
25,26,09:44:17,09:44:25,3.1849,7.6442
26,27,09:44:25,09:44:32,3.1841,7.489
27,28,09:44:32,09:44:40,3.163,7.4905
28,29,09:44:40,09:44:47,3.1796,7.5865
29,30,09:44:47,09:44:55,3.171,7.6694
30,31,09:44:55,09:45:02,3.1509,7.3805
31,32,09:45:02,09:45:10,3.1541,7.3626
32,33,09:45:10,09:45:17,3.1609,7.4703
33,34,09:45:17,09:45:25,3.1665,7.4207
34,35,09:45:25,09:45:32,3.1768,7.4502
35,36,09:45:32,09:45:40,3.1874,7.3831
36,37,09:45:40,09:45:47,3.1618,7.4572
37,38,09:45:47,09:45:54,3.1529,7.42
38,39,09:45:54,09:46:02,3.1605,7.5957
39,40,09:46:02,09:46:10,3.1578,7.5578
40,41,09:46:10,09:46:17,3.1761,7.5408
41,42,09:46:17,09:46:25,3.2003,7.5588
42,43,09:46:25,09:46:32,3.1609,7.4814
43,44,09:46:32,09:46:40,3.1528,7.4748
44,45,09:46:40,09:46:47,3.1696,7.5085
45,46,09:46:47,09:46:55,3.1555,7.5156
46,47,09:46:55,09:47:02,3.1546,7.4786
47,48,09:47:02,09:47:10,3.1702,7.615
48,49,09:47:10,09:47:17,3.1614,7.454
49,50,09:47:17,09:47:25,3.1641,7.6081
50,51,09:47:25,09:47:33,3.1921,7.7287
51,52,09:47:33,09:47:40,3.1555,7.6076
52,53,09:47:40,09:47:48,3.1589,7.4839
53,54,09:47:48,09:47:55,3.163,7.5674
54,55,09:47:55,09:48:03,3.1578,7.5503
55,56,09:48:03,09:48:10,3.16,7.6381
56,57,09:48:10,09:48:18,3.1507,7.5266
57,58,09:48:18,09:48:26,3.1618,7.6192
58,59,09:48:26,09:48:33,3.1555,7.5953
59,60,09:48:33,09:48:41,3.1719,7.541
60,61,09:48:41,09:48:48,3.1532,7.5609
61,62,09:48:48,09:48:56,3.1568,7.385
62,63,09:48:56,09:49:03,3.1768,7.4364
63,64,09:49:03,09:49:11,3.1525,8.4164
64,65,09:49:11,09:49:19,3.1899,7.5278
65,66,09:49:19,09:49:27,3.1713,7.6018
66,67,09:49:27,09:49:34,3.1683,7.5634
67,68,09:49:34,09:49:42,3.1726,7.4672
68,69,09:49:42,09:49:49,3.1564,7.4355
69,70,09:49:49,09:49:57,3.1725,7.58
70,71,09:49:57,09:50:04,3.2101,7.6874
71,72,09:50:04,09:50:12,3.1695,7.6138
72,73,09:50:12,09:50:19,3.1597,7.5451
73,74,09:50:19,09:50:27,3.1521,7.5362
74,75,09:50:27,09:50:34,3.1699,7.449
75,76,09:50:34,09:50:42,3.1577,7.5535
76,77,09:50:42,09:50:50,3.1673,7.5474
77,78,09:50:50,09:50:57,3.1833,7.6353
78,79,09:50:57,09:51:05,3.1648,7.5452
79,80,09:51:05,09:51:12,3.1678,7.3899
80,81,09:51:12,09:51:20,3.179,7.5291
81,82,09:51:20,09:51:27,3.1737,7.5838
82,83,09:51:27,09:51:35,3.1569,7.5121
83,84,09:51:35,09:51:42,3.1552,7.5533
84,85,09:51:42,09:51:50,3.15,7.5173
85,86,09:51:50,09:51:57,3.1623,7.4804
86,87,09:51:57,09:52:05,3.1899,7.4358
87,88,09:52:05,09:52:12,3.1707,7.5508
88,89,09:52:12,09:52:20,3.1768,7.4467
89,90,09:52:20,09:52:27,3.1656,7.4018
90,91,09:52:27,09:52:35,3.1772,7.535
91,92,09:52:35,09:52:42,3.1566,7.4107
92,93,09:52:42,09:52:50,3.1572,7.4777
93,94,09:52:50,09:52:57,3.1622,7.4819
94,95,09:52:57,09:53:05,3.1587,7.492
95,96,09:53:05,09:53:12,3.1686,7.5188
96,97,09:53:12,09:53:20,3.1718,7.6973
97,98,09:53:20,09:53:27,3.149,7.5589
98,99,09:53:27,09:53:35,3.2001,7.7513
99,100,09:53:35,09:53:43,3.1683,7.6043
100,101,09:53:43,09:53:50,3.1616,7.5111
101,102,09:53:50,09:53:58,3.1688,7.6011
102,103,09:53:58,09:54:05,3.1641,7.4844
103,104,09:54:05,09:54:13,3.1805,7.5744
