,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,09:41:11,09:41:27,3.1735,15.6986
1,2,09:41:27,09:41:37,3.1691,9.6406
2,3,09:41:37,09:41:44,3.1789,7.6696
3,4,09:41:44,09:41:52,3.1569,7.4802
4,5,09:41:52,09:41:59,3.1683,7.8028
5,6,09:41:59,09:42:07,3.197,7.7406
6,7,09:42:07,09:42:15,3.1696,7.6208
7,8,09:42:15,09:42:22,3.1656,7.5843
8,9,09:42:22,09:42:30,3.165,7.9313
9,10,09:42:30,09:42:38,3.1677,7.7214
10,11,09:42:38,09:42:46,3.1754,7.565
11,12,09:42:46,09:42:53,3.1573,7.6769
12,13,09:42:53,09:43:01,3.1603,7.5725
13,14,09:43:01,09:43:08,3.1694,7.5308
14,15,09:43:08,09:43:16,3.165,7.6366
15,16,09:43:16,09:43:24,3.1649,7.6349
16,17,09:43:24,09:43:31,3.1619,7.6294
17,18,09:43:31,09:43:39,3.156,7.661
18,19,09:43:39,09:43:47,3.211,7.7234
19,20,09:43:47,09:43:54,3.1647,7.5476
20,21,09:43:54,09:44:02,3.1956,7.7485
21,22,09:44:02,09:44:10,3.1721,7.7479
22,23,09:44:10,09:44:18,3.3958,7.9485
23,24,09:44:18,09:44:26,3.2155,8.6107
24,25,09:44:26,09:44:34,3.1748,7.7798
25,26,09:44:34,09:44:42,3.1556,7.6435
26,27,09:44:42,09:44:49,3.1634,7.7161
27,28,09:44:49,09:44:57,3.1665,7.6345
28,29,09:44:57,09:45:05,3.1667,7.7466
29,30,09:45:05,09:45:13,3.1772,7.7257
30,31,09:45:13,09:45:20,3.1687,7.68
31,32,09:45:20,09:45:28,3.1674,8.2375
32,33,09:45:28,09:45:36,3.2032,7.6753
33,34,09:45:36,09:45:44,3.1712,7.7279
34,35,09:45:44,09:45:52,3.1586,7.6364
35,36,09:45:52,09:46:00,3.5001,8.0705
36,37,09:46:00,09:46:09,3.1774,9.7337
37,38,09:46:09,09:46:17,3.1614,7.7287
38,39,09:46:17,09:46:25,3.1775,7.6354
39,40,09:46:25,09:46:32,3.1793,7.6643
40,41,09:46:32,09:46:40,3.1697,7.5316
41,42,09:46:40,09:46:48,3.1637,7.7197
42,43,09:46:48,09:46:55,3.183,7.6639
43,44,09:46:55,09:47:03,3.1689,7.7188
44,45,09:47:03,09:47:11,3.162,7.5766
45,46,09:47:11,09:47:18,3.1744,7.6495
46,47,09:47:18,09:47:26,3.1577,7.7891
47,48,09:47:26,09:47:34,3.1782,7.5347
48,49,09:47:34,09:47:41,3.1716,7.6583
49,50,09:47:41,09:47:49,3.4049,7.9228
50,51,09:47:49,09:47:58,3.1923,8.5307
51,52,09:47:58,09:48:05,3.1704,7.6475
52,53,09:48:05,09:48:13,3.1962,7.5557
53,54,09:48:13,09:48:20,3.1845,7.6324
54,55,09:48:20,09:48:28,3.1937,7.6147
55,56,09:48:28,09:48:36,3.1733,7.7124
56,57,09:48:36,09:48:43,3.1749,7.6552
57,58,09:48:43,09:48:51,3.1914,7.7078
58,59,09:48:51,09:48:59,3.1693,7.5063
59,60,09:48:59,09:49:06,3.1701,7.7945
60,61,09:49:06,09:49:14,3.1688,7.7034
61,62,09:49:14,09:49:22,3.1546,7.6797
62,63,09:49:22,09:49:30,3.4556,8.0311
63,64,09:49:30,09:49:40,3.1777,10.2913
64,65,09:49:40,09:49:48,3.1525,7.5338
65,66,09:49:48,09:49:55,3.1801,7.7566
66,67,09:49:55,09:50:03,3.1808,7.6882
67,68,09:50:03,09:50:11,3.1704,7.8131
68,69,09:50:11,09:50:19,3.1739,7.6047
69,70,09:50:19,09:50:26,3.1677,7.7808
70,71,09:50:26,09:50:34,3.1719,7.5841
71,72,09:50:34,09:50:42,3.1597,7.6978
72,73,09:50:42,09:50:50,3.4389,7.9556
73,74,09:50:50,09:50:59,3.1719,9.1746
74,75,09:50:59,09:51:06,3.188,7.6891
75,76,09:51:06,09:51:14,3.1771,7.7458
76,77,09:51:14,09:51:22,3.16,7.5288
77,78,09:51:22,09:51:29,3.169,7.6877
78,79,09:51:29,09:51:37,3.1742,7.7484
79,80,09:51:37,09:51:45,3.1503,7.5541
80,81,09:51:45,09:51:52,3.1661,7.6027
81,82,09:51:52,09:52:00,3.167,7.4795
82,83,09:52:00,09:52:07,3.1862,7.6537
83,84,09:52:07,09:52:16,3.1646,8.2386
84,85,09:52:16,09:52:24,3.1625,8.6185
85,86,09:52:24,09:52:32,3.178,7.6736
86,87,09:52:32,09:52:40,3.181,7.5628
87,88,09:52:40,09:52:47,3.1657,7.6474
88,89,09:52:47,09:52:55,3.1692,7.5782
89,90,09:52:55,09:53:03,3.4108,7.9982
90,91,09:53:03,09:53:12,3.1728,9.1356
91,92,09:53:12,09:53:19,3.1516,7.5712
92,93,09:53:19,09:53:27,3.1862,7.6572
