,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,09:41:07,09:41:14,3.1543,7.786
1,2,09:41:14,09:41:22,3.1838,7.4977
2,3,09:41:22,09:41:29,3.1605,7.5464
3,4,09:41:29,09:41:37,3.161,7.5357
4,5,09:41:37,09:41:44,3.1514,7.4543
5,6,09:41:44,09:41:52,3.1651,7.3863
6,7,09:41:52,09:41:59,3.165,7.5607
7,8,09:41:59,09:42:07,3.1616,7.4427
8,9,09:42:07,09:42:14,3.1608,7.4337
9,10,09:42:14,09:42:22,3.1651,7.486
10,11,09:42:22,09:42:29,3.1681,7.6039
11,12,09:42:29,09:42:37,3.1723,7.4666
12,13,09:42:37,09:42:44,3.1697,7.5901
13,14,09:42:44,09:42:52,3.1508,7.5706
14,15,09:42:52,09:42:59,3.1583,7.4615
15,16,09:42:59,09:43:07,3.1607,7.4688
16,17,09:43:07,09:43:14,3.1619,7.5187
17,18,09:43:14,09:43:22,3.1547,7.3984
18,19,09:43:22,09:43:29,3.1557,7.5509
19,20,09:43:29,09:43:37,3.1561,7.5507
20,21,09:43:37,09:43:44,3.1531,7.4525
21,22,09:43:44,09:43:52,3.1666,7.4619
22,23,09:43:52,09:43:59,3.1565,7.5026
23,24,09:43:59,09:44:07,3.1661,7.4144
24,25,09:44:07,09:44:14,3.1592,7.4864
25,26,09:44:14,09:44:22,3.1577,7.5252
26,27,09:44:22,09:44:29,3.1646,7.4681
27,28,09:44:29,09:44:37,3.1587,7.5874
28,29,09:44:37,09:44:44,3.1674,7.5926
29,30,09:44:44,09:44:52,3.1602,7.6256
30,31,09:44:52,09:45:00,3.1704,7.5315
31,32,09:45:00,09:45:07,3.1739,7.4979
32,33,09:45:07,09:45:15,3.1617,7.4695
33,34,09:45:15,09:45:22,3.1573,7.4963
34,35,09:45:22,09:45:30,3.1744,7.5116
35,36,09:45:30,09:45:37,3.1608,7.5362
36,37,09:45:37,09:45:45,3.1667,7.5996
37,38,09:45:45,09:45:52,3.1615,7.472
38,39,09:45:52,09:46:00,3.1702,7.3959
39,40,09:46:00,09:46:07,3.1613,7.4367
40,41,09:46:07,09:46:15,3.161,7.5442
41,42,09:46:15,09:46:22,3.1477,7.5164
42,43,09:46:22,09:46:30,3.1594,7.5184
43,44,09:46:30,09:46:37,3.1629,7.4841
44,45,09:46:37,09:46:45,3.1698,7.5316
45,46,09:46:45,09:46:52,3.1735,7.4676
46,47,09:46:52,09:47:00,3.1691,7.4167
47,48,09:47:00,09:47:07,3.1758,7.3961
48,49,09:47:07,09:47:14,3.1656,7.3833
49,50,09:47:14,09:47:22,3.1622,7.4201
50,51,09:47:22,09:47:29,3.1687,7.4687
51,52,09:47:29,09:47:37,3.1765,7.6322
52,53,09:47:37,09:47:44,3.165,7.4612
53,54,09:47:44,09:47:52,3.1701,7.4892
54,55,09:47:52,09:47:59,3.1502,7.5627
55,56,09:47:59,09:48:07,3.1661,7.5739
56,57,09:48:07,09:48:14,3.1599,7.5017
57,58,09:48:14,09:48:22,3.1576,7.6193
58,59,09:48:22,09:48:29,3.1462,7.4475
59,60,09:48:29,09:48:37,3.1672,7.4675
60,61,09:48:37,09:48:44,3.1653,7.5681
61,62,09:48:44,09:48:52,3.1489,7.4875
62,63,09:48:52,09:48:59,3.1552,7.4271
63,64,09:48:59,09:49:07,3.1693,7.6745
64,65,09:49:07,09:49:15,3.1579,7.6417
65,66,09:49:15,09:49:22,3.1559,7.4205
66,67,09:49:22,09:49:30,3.164,7.4833
67,68,09:49:30,09:49:37,3.1694,7.5879
68,69,09:49:37,09:49:45,3.1804,7.4656
69,70,09:49:45,09:49:52,3.1597,7.4316
70,71,09:49:52,09:50:00,3.1594,7.507
71,72,09:50:00,09:50:07,3.1645,7.5123
72,73,09:50:07,09:50:15,3.1699,7.5408
73,74,09:50:15,09:50:22,3.1727,7.4629
74,75,09:50:22,09:50:30,3.1614,7.4692
