,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,11:35:38,11:36:07,13.0523,29.5514
1,2,11:36:07,11:36:43,3.7947,35.9176
2,3,11:36:43,11:37:14,3.724,31.2188
3,4,11:37:14,11:37:47,3.855,32.8626
4,5,11:37:47,11:38:15,4.5031,28.0392
5,6,11:38:15,11:38:38,3.6634,22.3966
6,7,11:38:38,11:38:57,3.2455,19.7163
7,8,11:38:57,11:39:15,3.588,17.8866
8,9,11:39:15,11:39:32,3.3954,17.2665
9,10,11:39:32,11:39:50,3.4771,18.1166
10,11,11:39:50,11:40:08,3.2726,17.5872
11,12,11:40:08,11:40:26,3.4395,17.8362
12,13,11:40:26,11:40:44,3.2424,18.1302
13,14,11:40:44,11:41:02,3.2743,17.5519
14,15,11:41:02,11:41:19,3.4405,17.153
15,16,11:41:19,11:41:36,3.329,16.7861
16,17,11:41:36,11:41:53,3.2361,17.6997
17,18,11:41:53,11:42:11,3.7281,18.0196
18,19,11:42:11,11:42:29,3.3306,17.6976
19,20,11:42:29,11:42:47,3.3089,17.9015
20,21,11:42:47,11:43:05,3.6738,17.8557
21,22,11:43:05,11:43:21,3.2261,16.7704
22,23,11:43:21,11:43:39,3.5306,17.0591
23,24,11:43:39,11:43:55,3.2569,16.4099
24,25,11:43:55,11:44:12,3.2031,17.0179
25,26,11:44:12,11:44:29,3.2916,17.2621
26,27,11:44:29,11:44:48,4.799,18.4697
27,28,11:44:48,11:45:04,3.4343,16.7686
28,29,11:45:04,11:45:22,3.2941,17.1681
29,30,11:45:22,11:45:40,3.2644,17.9856
30,31,11:45:40,11:45:57,3.5417,17.6702
31,32,11:45:57,11:46:16,3.4049,18.326
32,33,11:46:16,11:46:33,3.2991,17.6355
33,34,11:46:33,11:46:51,3.3267,17.7393
34,35,11:46:51,11:47:09,3.6026,17.5114
35,36,11:47:09,11:47:26,3.4664,17.1891
36,37,11:47:26,11:47:43,3.249,17.352
37,38,11:47:43,11:48:00,3.2317,16.6173
38,39,11:48:00,11:48:17,3.4242,16.8592
39,40,11:48:17,11:48:33,3.326,16.1257
40,41,11:48:33,11:48:50,3.8281,17.7231
41,42,11:48:50,11:49:08,3.8013,17.9907
42,43,11:49:08,11:49:28,3.6544,19.2674
43,44,11:49:28,11:49:46,4.2789,18.7745
44,45,11:49:46,11:50:05,4.6838,19.0231
