,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,11:35:05,11:35:13,3.1729,7.7162
1,2,11:35:13,11:35:20,3.1639,7.4676
2,3,11:35:20,11:35:28,3.3268,7.766
3,4,11:35:28,11:35:36,3.202,7.9323
4,5,11:35:36,11:35:44,3.1664,7.7242
5,6,11:35:44,11:35:52,3.169,7.9069
6,7,11:35:52,11:36:00,3.2022,7.9517
7,8,11:36:00,11:36:07,3.1923,7.9687
8,9,11:36:07,11:36:15,3.173,7.9598
9,10,11:36:15,11:36:23,3.1645,7.8533
10,11,11:36:23,11:36:31,3.1758,7.9052
11,12,11:36:31,11:36:39,3.1809,7.902
12,13,11:36:39,11:36:47,3.2051,7.9668
13,14,11:36:47,11:36:55,3.1667,7.8233
14,15,11:36:55,11:37:03,3.1766,7.7518
15,16,11:37:03,11:37:11,3.2073,7.9818
16,17,11:37:11,11:37:18,3.1743,7.7962
17,18,11:37:18,11:37:26,3.1711,7.9346
18,19,11:37:26,11:37:34,3.1659,7.7249
19,20,11:37:34,11:37:42,3.1878,7.9438
20,21,11:37:42,11:37:50,3.1633,8.0024
21,22,11:37:50,11:37:58,3.1827,8.0106
22,23,11:37:58,11:38:06,3.1675,7.8914
23,24,11:38:06,11:38:14,3.1869,7.9428
24,25,11:38:14,11:38:22,3.192,7.8849
25,26,11:38:22,11:38:30,3.1944,7.9459
26,27,11:38:30,11:38:38,3.1702,7.8979
27,28,11:38:38,11:38:45,3.1723,7.8706
28,29,11:38:45,11:38:54,3.1746,8.052
29,30,11:38:54,11:39:01,3.1739,7.8965
30,31,11:39:01,11:39:09,3.1783,7.8512
31,32,11:39:09,11:39:17,3.1758,7.9483
32,33,11:39:17,11:39:25,3.1658,7.8769
33,34,11:39:25,11:39:33,3.1599,7.8481
34,35,11:39:33,11:39:41,3.1646,7.9191
35,36,11:39:41,11:39:49,3.1851,7.8935
36,37,11:39:49,11:39:57,3.181,7.881
37,38,11:39:57,11:40:04,3.1743,7.8458
38,39,11:40:04,11:40:12,3.1727,7.9967
39,40,11:40:12,11:40:20,3.1611,7.9514
40,41,11:40:20,11:40:28,3.1719,7.8652
41,42,11:40:28,11:40:36,3.1696,7.9848
42,43,11:40:36,11:40:44,3.1705,7.9653
43,44,11:40:44,11:40:52,3.1727,7.8853
44,45,11:40:52,11:41:00,3.184,7.8641
45,46,11:41:00,11:41:08,3.167,7.9267
46,47,11:41:08,11:41:16,3.1944,7.9133
47,48,11:41:16,11:41:24,3.1823,7.8588
48,49,11:41:24,11:41:32,3.1655,7.8334
49,50,11:41:32,11:41:39,3.1663,7.8157
50,51,11:41:39,11:41:47,3.1915,7.9955
51,52,11:41:47,11:41:55,3.1666,7.9252
52,53,11:41:55,11:42:03,3.1879,7.9317
53,54,11:42:03,11:42:11,3.1694,7.8643
