,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,14:23:34,14:23:42,3.2206,7.4121
1,2,14:23:42,14:23:49,3.2214,7.4878
2,3,14:23:49,14:23:57,3.2261,7.4628
3,4,14:23:57,14:24:04,3.2286,7.3001
4,5,14:24:04,14:24:11,3.2367,7.3506
5,6,14:24:11,14:24:18,3.1633,7.2424
6,7,14:24:18,14:24:26,3.1596,7.4552
7,8,14:24:26,14:24:33,3.1545,7.4038
8,9,14:24:33,14:24:41,3.1747,7.4269
9,10,14:24:41,14:24:48,3.1787,7.3159
10,11,14:24:48,14:24:55,3.1744,7.2327
11,12,14:24:55,14:25:03,3.167,7.3107
12,13,14:25:03,14:25:10,3.169,7.3861
13,14,14:25:10,14:25:17,3.1612,7.5199
14,15,14:25:17,14:25:25,3.1811,7.4358
15,16,14:25:25,14:25:32,3.1727,7.3801
16,17,14:25:32,14:25:40,3.1762,7.3027
17,18,14:25:40,14:25:47,3.1656,7.328
18,19,14:25:47,14:25:54,3.1547,7.4542
19,20,14:25:54,14:26:02,3.1576,7.3907
20,21,14:26:02,14:26:09,3.1692,7.5358
21,22,14:26:09,14:26:17,3.172,7.3531
22,23,14:26:17,14:26:24,3.1678,7.2318
23,24,14:26:24,14:26:31,3.1978,7.3007
24,25,14:26:31,14:26:39,3.159,7.4035
25,26,14:26:39,14:26:46,3.1726,7.3929
26,27,14:26:46,14:26:53,3.1634,7.439
27,28,14:26:53,14:27:01,3.1712,7.4453
28,29,14:27:01,14:27:08,3.1712,7.3203
29,30,14:27:08,14:27:15,3.1676,7.2562
30,31,14:27:15,14:27:23,3.1898,7.3597
31,32,14:27:23,14:27:30,3.1845,7.5144
32,33,14:27:30,14:27:38,3.1532,7.5159
33,34,14:27:38,14:27:45,3.1701,7.4318
34,35,14:27:45,14:27:53,3.1757,7.3613
35,36,14:27:53,14:28:00,3.1659,7.35
36,37,14:28:00,14:28:07,3.1753,7.2597
37,38,14:28:07,14:28:15,3.1558,7.2936
38,39,14:28:15,14:28:22,3.1612,7.4657
39,40,14:28:22,14:28:29,3.1594,7.5132
40,41,14:28:29,14:28:37,3.1579,7.4677
41,42,14:28:37,14:28:44,3.1836,7.3499
42,43,14:28:44,14:28:52,3.161,7.3097
43,44,14:28:52,14:28:59,3.1684,7.2725
44,45,14:28:59,14:29:06,3.1651,7.2978
45,46,14:29:06,14:29:14,3.1613,7.3842
46,47,14:29:14,14:29:21,3.1558,7.4404
47,48,14:29:21,14:29:28,3.197,7.4275
48,49,14:29:28,14:29:36,3.1796,7.3209
49,50,14:29:36,14:29:43,3.1591,7.2929
50,51,14:29:43,14:29:50,3.1639,7.3682
51,52,14:29:50,14:29:58,3.1819,7.5714
52,53,14:29:58,14:30:05,3.1557,7.4648
53,54,14:30:05,14:30:13,3.1657,7.5006
54,55,14:30:13,14:30:20,3.1978,7.4165
55,56,14:30:20,14:30:28,3.1794,7.3192
56,57,14:30:28,14:30:35,3.173,7.2771
57,58,14:30:35,14:30:42,3.1578,7.4212
58,59,14:30:42,14:30:50,3.165,7.422
59,60,14:30:50,14:30:57,3.1635,7.455
60,61,14:30:57,14:31:05,3.1741,7.4341
61,62,14:31:05,14:31:12,3.1683,7.3491
62,63,14:31:12,14:31:19,3.1772,7.3238
63,64,14:31:19,14:31:27,3.1587,7.3549
64,65,14:31:27,14:31:34,3.1613,7.4093
65,66,14:31:34,14:31:42,3.1588,7.4237
66,67,14:31:42,14:31:49,3.1638,7.4188
67,68,14:31:49,14:31:56,3.1656,7.3982
68,69,14:31:56,14:32:04,3.1687,7.299
69,70,14:32:04,14:32:11,3.1645,7.34
70,71,14:32:11,14:32:18,3.1718,7.3637
71,72,14:32:18,14:32:26,3.1561,7.5662
72,73,14:32:26,14:32:33,3.1665,7.4452
73,74,14:32:33,14:32:41,3.1711,7.4178
74,75,14:32:41,14:32:48,3.1873,7.3082
75,76,14:32:48,14:32:55,3.173,7.3264
76,77,14:32:55,14:33:03,3.165,7.4845
77,78,14:33:03,14:33:10,3.1619,7.4619
78,79,14:33:10,14:33:18,3.151,7.471
79,80,14:33:18,14:33:25,3.1785,7.4044
80,81,14:33:25,14:33:33,3.1741,7.4795
81,82,14:33:33,14:33:40,3.165,7.269
82,83,14:33:40,14:33:47,3.1607,7.288
83,84,14:33:47,14:33:55,3.1532,7.3077
84,85,14:33:55,14:34:02,3.167,7.5343
85,86,14:34:02,14:34:11,3.1661,8.4512
86,87,14:34:11,14:34:18,3.2718,7.5488
87,88,14:34:18,14:34:26,3.2482,7.4807
88,89,14:34:26,14:34:33,3.227,7.3958
89,90,14:34:33,14:34:40,3.2489,7.3456
90,91,14:34:40,14:34:48,3.2531,7.3717
91,92,14:34:48,14:34:55,3.1904,7.2797
92,93,14:34:55,14:35:02,3.1748,7.4008
93,94,14:35:02,14:35:10,3.1556,7.4512
94,95,14:35:10,14:35:17,3.1577,7.4472
95,96,14:35:17,14:35:25,3.163,7.3762
96,97,14:35:25,14:35:32,3.1643,7.3147
97,98,14:35:32,14:35:39,3.1748,7.3324
98,99,14:35:39,14:35:47,3.1597,7.3177
99,100,14:35:47,14:35:54,3.1556,7.4071
100,101,14:35:54,14:36:02,3.1553,7.4853
101,102,14:36:02,14:36:09,3.1696,7.4197
