,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,14:23:37,14:23:45,3.3963,8.1166
1,2,14:23:45,14:23:53,3.2583,7.9898
2,3,14:23:53,14:24:01,3.2287,8.0274
3,4,14:24:01,14:24:09,3.2133,8.135
4,5,14:24:09,14:24:17,3.1903,7.985
5,6,14:24:17,14:24:25,3.2218,7.9523
6,7,14:24:25,14:24:33,3.1661,8.1792
7,8,14:24:33,14:24:41,3.2174,8.0355
8,9,14:24:41,14:24:49,3.2054,8.1344
9,10,14:24:49,14:24:58,3.1702,8.1728
10,11,14:24:58,14:25:06,3.1729,8.1465
11,12,14:25:06,14:25:14,3.1711,8.073
12,13,14:25:14,14:25:22,3.1793,8.1339
13,14,14:25:22,14:25:30,3.1831,8.0716
14,15,14:25:30,14:25:38,3.1757,8.127
15,16,14:25:38,14:25:46,3.172,8.1823
16,17,14:25:46,14:25:55,3.196,8.2337
17,18,14:25:55,14:26:03,3.1906,8.1705
18,19,14:26:03,14:26:11,3.2194,8.0244
19,20,14:26:11,14:26:19,3.1754,8.2681
20,21,14:26:19,14:26:27,3.1673,8.0477
21,22,14:26:27,14:26:35,3.1795,8.1381
22,23,14:26:35,14:26:43,3.1707,8.1621
23,24,14:26:43,14:26:51,3.2128,8.065
24,25,14:26:51,14:27:00,3.1824,8.2184
25,26,14:27:00,14:27:08,3.1874,8.1153
26,27,14:27:08,14:27:16,3.2,8.3154
27,28,14:27:16,14:27:24,3.2682,8.0574
28,29,14:27:24,14:27:32,3.2058,8.1528
29,30,14:27:32,14:27:40,3.1722,7.9893
30,31,14:27:40,14:27:48,3.172,8.0035
31,32,14:27:48,14:27:56,3.1693,8.0547
32,33,14:27:56,14:28:04,3.1781,7.8936
33,34,14:28:04,14:28:12,3.1688,7.9685
34,35,14:28:12,14:28:20,3.156,7.9459
35,36,14:28:20,14:28:28,3.2181,7.9892
36,37,14:28:28,14:28:36,3.1673,8.0257
37,38,14:28:36,14:28:44,3.1875,8.0754
38,39,14:28:44,14:28:52,3.1844,8.0133
39,40,14:28:52,14:29:00,3.2183,8.2013
40,41,14:29:00,14:29:09,3.1932,8.1009
41,42,14:29:09,14:29:16,3.1699,7.9606
42,43,14:29:16,14:29:25,3.1723,8.0692
43,44,14:29:25,14:29:32,3.171,7.9348
44,45,14:29:32,14:29:40,3.2058,7.9138
45,46,14:29:40,14:29:48,3.1782,7.9004
46,47,14:29:48,14:29:56,3.1799,7.9815
47,48,14:29:56,14:30:04,3.2485,8.0853
48,49,14:30:04,14:30:12,3.2318,8.0222
49,50,14:30:12,14:30:21,3.1881,8.1457
50,51,14:30:21,14:30:29,3.1899,7.9684
51,52,14:30:29,14:30:36,3.1949,7.9529
52,53,14:30:36,14:30:44,3.1793,8.028
53,54,14:30:44,14:30:52,3.1802,8.0015
54,55,14:30:52,14:31:00,3.1734,7.957
55,56,14:31:00,14:31:08,3.2063,7.9559
56,57,14:31:08,14:31:16,3.1782,8.0098
57,58,14:31:16,14:31:24,3.2051,8.0311
58,59,14:31:24,14:31:32,3.1897,7.9904
59,60,14:31:32,14:31:40,3.197,7.982
60,61,14:31:40,14:31:49,3.1947,8.1131
61,62,14:31:49,14:31:56,3.1744,7.9183
62,63,14:31:56,14:32:04,3.1676,7.952
63,64,14:32:04,14:32:12,3.1642,7.8736
64,65,14:32:12,14:32:20,3.1848,7.9275
65,66,14:32:20,14:32:28,3.1838,7.9278
66,67,14:32:28,14:32:36,3.207,8.0259
67,68,14:32:36,14:32:44,3.1938,8.0394
68,69,14:32:44,14:32:52,3.2138,7.9828
69,70,14:32:52,14:33:00,3.1662,8.1379
70,71,14:33:00,14:33:08,3.1877,8.0687
71,72,14:33:08,14:33:16,3.1884,7.9969
72,73,14:33:16,14:33:24,3.1696,7.9308
73,74,14:33:24,14:33:32,3.1716,7.9696
74,75,14:33:32,14:33:40,3.1706,7.8419
75,76,14:33:40,14:33:48,3.1925,7.9887
76,77,14:33:48,14:33:56,3.1742,8.0631
77,78,14:33:56,14:34:04,3.1901,8.0953
78,79,14:34:04,14:34:12,3.1977,7.9087
79,80,14:34:12,14:34:20,3.208,8.1463
80,81,14:34:20,14:34:28,3.1871,8.0689
81,82,14:34:28,14:34:36,3.1802,7.8286
82,83,14:34:36,14:34:44,3.1752,8.0725
83,84,14:34:44,14:34:52,3.1795,7.8276
84,85,14:34:52,14:35:00,3.1786,8.0323
85,86,14:35:00,14:35:08,3.1748,7.9473
86,87,14:35:08,14:35:16,3.1892,7.9692
87,88,14:35:16,14:35:24,3.1804,8.0864
88,89,14:35:24,14:35:32,3.2056,7.9512
89,90,14:35:32,14:35:40,3.1993,8.0911
90,91,14:35:40,14:35:48,3.1828,7.9178
91,92,14:35:48,14:35:56,3.1951,8.1328
92,93,14:35:56,14:36:04,3.1649,7.937
93,94,14:36:04,14:36:12,3.2059,7.9861
94,95,14:36:12,14:36:20,3.1617,7.9803
95,96,14:36:20,14:36:28,3.2145,7.8326
96,97,14:36:28,14:36:36,3.1608,8.1167
97,98,14:36:36,14:36:44,3.1791,8.0415
98,99,14:36:44,14:36:52,3.2215,8.0856
99,100,14:36:52,14:37:00,3.1636,8.0686
100,101,14:37:00,14:37:08,3.1872,8.1068
101,102,14:37:08,14:37:16,3.1656,7.9294
102,103,14:37:16,14:37:24,3.1863,8.0353
103,104,14:37:24,14:37:32,3.1981,7.9961
104,105,14:37:32,14:37:40,3.2138,7.8717
105,106,14:37:40,14:37:48,3.17,7.9136
106,107,14:37:48,14:37:56,3.173,7.982
107,108,14:37:56,14:38:04,3.19,8.096
108,109,14:38:04,14:38:12,3.1778,7.9623
109,110,14:38:12,14:38:20,3.1714,8.2037
110,111,14:38:20,14:38:28,3.1859,7.932
111,112,14:38:28,14:38:36,3.1785,7.9975
112,113,14:38:36,14:38:44,3.1665,8.0527
113,114,14:38:44,14:38:52,3.1739,7.8689
114,115,14:38:52,14:39:00,3.1576,7.9959
115,116,14:39:00,14:39:08,3.2117,7.926
116,117,14:39:08,14:39:16,3.1812,8.0202
117,118,14:39:16,14:39:24,3.1871,8.1275
118,119,14:39:24,14:39:32,3.1717,7.9528
119,120,14:39:32,14:39:40,3.1766,8.091
120,121,14:39:40,14:39:48,3.2061,8.0883
121,122,14:39:48,14:39:56,3.1818,7.8769
122,123,14:39:56,14:40:04,3.1712,8.0711
123,124,14:40:04,14:40:12,3.1625,7.876
124,125,14:40:12,14:40:20,3.1886,7.8393
125,126,14:40:20,14:40:28,3.1841,7.9323
126,127,14:40:28,14:40:36,3.1795,7.9933
127,128,14:40:36,14:40:44,3.2125,8.0479
128,129,14:40:44,14:40:52,3.1915,8.0746
129,130,14:40:52,14:41:00,3.1887,8.0573
130,131,14:41:00,14:41:08,3.1808,7.9858
131,132,14:41:08,14:41:16,3.1882,8.0256
132,133,14:41:16,14:41:24,3.1838,7.9912
133,134,14:41:24,14:41:32,3.1861,7.932
134,135,14:41:32,14:41:40,3.1641,7.9472
135,136,14:41:40,14:41:48,3.1774,7.8862
136,137,14:41:48,14:41:56,3.2002,8.1732
137,138,14:41:56,14:42:04,3.1809,8.0633
138,139,14:42:04,14:42:12,3.1887,8.0195
139,140,14:42:12,14:42:20,3.1797,8.0321
140,141,14:42:20,14:42:28,3.1842,7.9269
141,142,14:42:28,14:42:36,3.1912,8.0035
142,143,14:42:36,14:42:44,3.1694,7.9463
143,144,14:42:44,14:42:52,3.2012,7.9615
144,145,14:42:52,14:43:00,3.1779,7.9901
145,146,14:43:00,14:43:08,3.1863,7.9535
146,147,14:43:08,14:43:16,3.1696,7.9477
147,148,14:43:16,14:43:24,3.1944,8.2335
148,149,14:43:24,14:43:32,3.1753,7.9471
149,150,14:43:32,14:43:40,3.2118,7.9841
150,151,14:43:40,14:43:48,3.1824,8.1366
151,152,14:43:48,14:43:56,3.1907,7.8943
152,153,14:43:56,14:44:04,3.1761,8.0132
153,154,14:44:04,14:44:12,3.174,8.0008
154,155,14:44:12,14:44:20,3.184,7.9886
155,156,14:44:20,14:44:28,3.172,7.8822
156,157,14:44:28,14:44:36,3.1775,8.0654
157,158,14:44:36,14:44:44,3.212,8.0398
158,159,14:44:44,14:44:52,3.194,7.9488
159,160,14:44:52,14:45:00,3.178,8.1427
160,161,14:45:00,14:45:08,3.2051,8.0508
161,162,14:45:08,14:45:16,3.1763,7.9979
162,163,14:45:16,14:45:24,3.2047,7.9344
163,164,14:45:24,14:45:32,3.1916,8.0864
164,165,14:45:32,14:45:40,3.1836,7.8599
165,166,14:45:40,14:45:48,3.2518,7.9646
166,167,14:45:48,14:45:56,3.1808,8.0012
167,168,14:45:56,14:46:04,3.1741,8.102
168,169,14:46:04,14:46:12,3.1756,7.9497
169,170,14:46:12,14:46:20,3.1835,8.0171
170,171,14:46:20,14:46:28,3.2298,8.1739
171,172,14:46:28,14:46:36,3.1936,7.9414
172,173,14:46:36,14:46:45,3.1774,8.1443
173,174,14:46:45,14:46:52,3.1927,7.8947
174,175,14:46:52,14:47:00,3.1802,7.8045
175,176,14:47:00,14:47:08,3.1982,7.8982
176,177,14:47:08,14:47:16,3.1825,8.0074
177,178,14:47:16,14:47:24,3.1665,8.1426
178,179,14:47:24,14:47:32,3.1771,7.9999
179,180,14:47:32,14:47:40,3.1668,8.1528
180,181,14:47:40,14:47:48,3.1979,7.9183
181,182,14:47:48,14:47:56,3.1744,8.0006
182,183,14:47:56,14:48:04,3.1782,7.9865
183,184,14:48:04,14:48:12,3.1906,7.949
184,185,14:48:12,14:48:20,3.1779,8.0482
185,186,14:48:20,14:48:28,3.1898,7.9615
186,187,14:48:28,14:48:36,3.1788,7.9539
187,188,14:48:36,14:48:44,3.1856,8.015
188,189,14:48:44,14:48:52,3.2044,8.0069
189,190,14:48:52,14:49:00,3.2197,8.0941
190,191,14:49:00,14:49:08,3.1975,8.1111
191,192,14:49:08,14:49:16,3.1869,7.8722
192,193,14:49:16,14:49:24,3.1872,8.1099
193,194,14:49:24,14:49:32,3.1807,7.9224
194,195,14:49:32,14:49:40,3.1722,7.9674
195,196,14:49:40,14:49:48,3.1817,7.9767
196,197,14:49:48,14:49:56,3.175,7.9373
197,198,14:49:56,14:50:05,3.2017,8.3205
198,199,14:50:05,14:50:12,3.1813,7.8592
199,200,14:50:12,14:50:20,3.1754,8.0688
200,201,14:50:20,14:50:29,3.1814,8.0808
201,202,14:50:29,14:50:37,3.2062,7.9894
202,203,14:50:37,14:50:45,3.171,8.0284
203,204,14:50:45,14:50:52,3.1859,7.8655
204,205,14:50:52,14:51:00,3.1954,7.9571
205,206,14:51:00,14:51:08,3.1895,7.9127
206,207,14:51:08,14:51:16,3.184,7.9908
