,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,14:23:38,14:23:46,3.4441,8.1049
1,2,14:23:46,14:23:54,3.3337,7.9725
2,3,14:23:54,14:24:02,3.2026,7.8635
3,4,14:24:02,14:24:10,3.1817,7.9034
4,5,14:24:10,14:24:17,3.2086,7.8716
5,6,14:24:17,14:24:26,3.1688,8.1046
6,7,14:24:26,14:24:34,3.175,8.0341
7,8,14:24:34,14:24:42,3.1765,7.9958
8,9,14:24:42,14:24:50,3.177,7.9683
9,10,14:24:50,14:24:58,3.1841,7.9571
10,11,14:24:58,14:25:06,3.1678,8.014
11,12,14:25:06,14:25:14,3.166,8.0158
12,13,14:25:14,14:25:22,3.1743,8.0489
13,14,14:25:22,14:25:30,3.1867,8.0274
14,15,14:25:30,14:25:38,3.2265,8.046
15,16,14:25:38,14:25:46,3.1744,7.8472
16,17,14:25:46,14:25:53,3.1675,7.9692
17,18,14:25:53,14:26:02,3.1706,8.0833
18,19,14:26:02,14:26:10,3.1949,8.0294
19,20,14:26:10,14:26:18,3.1682,8.0251
20,21,14:26:18,14:26:26,3.1721,7.9976
21,22,14:26:26,14:26:34,3.1688,8.0286
22,23,14:26:34,14:26:42,3.1851,7.9654
23,24,14:26:42,14:26:50,3.1751,8.058
24,25,14:26:50,14:26:58,3.1672,7.9154
25,26,14:26:58,14:27:06,3.1785,7.9917
26,27,14:27:06,14:27:14,3.1818,7.9698
27,28,14:27:14,14:27:22,3.1949,8.0823
28,29,14:27:22,14:27:30,3.2021,8.0559
29,30,14:27:30,14:27:38,3.1681,8.0818
30,31,14:27:38,14:27:46,3.1831,7.9828
31,32,14:27:46,14:27:54,3.186,8.0656
32,33,14:27:54,14:28:02,3.1783,7.98
33,34,14:28:02,14:28:10,3.1646,7.9805
34,35,14:28:10,14:28:18,3.1746,7.9721
35,36,14:28:18,14:28:26,3.1656,8.0817
36,37,14:28:26,14:28:34,3.1652,7.9842
37,38,14:28:34,14:28:42,3.1698,7.9388
38,39,14:28:42,14:28:50,3.2051,8.076
39,40,14:28:50,14:28:58,3.1664,8.046
40,41,14:28:58,14:29:06,3.189,8.0029
41,42,14:29:06,14:29:14,3.176,8.0547
42,43,14:29:14,14:29:22,3.1825,8.0358
43,44,14:29:22,14:29:30,3.1806,8.0143
44,45,14:29:30,14:29:38,3.2104,7.9817
45,46,14:29:38,14:29:46,3.1842,7.9593
46,47,14:29:46,14:29:54,3.1863,8.0027
47,48,14:29:54,14:30:02,3.3086,8.1386
48,49,14:30:02,14:30:10,3.1865,8.0623
49,50,14:30:10,14:30:18,3.1993,8.0522
50,51,14:30:18,14:30:26,3.2067,8.0301
51,52,14:30:26,14:30:34,3.1746,7.9476
52,53,14:30:34,14:30:42,3.1851,7.9992
53,54,14:30:42,14:30:50,3.1854,8.0507
54,55,14:30:50,14:30:58,3.1935,7.9608
55,56,14:30:58,14:31:06,3.1879,7.9777
56,57,14:31:06,14:31:14,3.1764,8.0144
57,58,14:31:14,14:31:22,3.1884,8.0328
58,59,14:31:22,14:31:30,3.1862,8.0407
59,60,14:31:30,14:31:38,3.1788,8.0235
60,61,14:31:38,14:31:46,3.1789,8.0024
61,62,14:31:46,14:31:54,3.1843,7.9981
62,63,14:31:54,14:32:02,3.1766,8.0791
63,64,14:32:02,14:32:10,3.1736,7.946
64,65,14:32:10,14:32:18,3.1656,7.9879
65,66,14:32:18,14:32:26,3.1662,8.0846
66,67,14:32:26,14:32:34,3.1846,7.9959
67,68,14:32:34,14:32:42,3.2162,8.0188
68,69,14:32:42,14:32:50,3.2014,8.0486
69,70,14:32:50,14:32:58,3.1894,7.9881
70,71,14:32:58,14:33:06,3.166,8.0487
71,72,14:33:06,14:33:15,3.1721,8.1149
72,73,14:33:15,14:33:23,3.1956,8.0496
73,74,14:33:23,14:33:31,3.2041,7.951
74,75,14:33:31,14:33:39,3.2624,8.1187
75,76,14:33:39,14:33:47,3.1894,8.1224
76,77,14:33:47,14:33:55,3.1796,7.9898
77,78,14:33:55,14:34:03,3.177,8.0312
78,79,14:34:03,14:34:11,3.1975,7.9979
79,80,14:34:11,14:34:19,3.1891,8.1366
80,81,14:34:19,14:34:27,3.1943,8.0809
81,82,14:34:27,14:34:35,3.1777,7.9503
82,83,14:34:35,14:34:43,3.1803,8.1663
83,84,14:34:43,14:34:51,3.1808,7.9981
84,85,14:34:51,14:34:59,3.1629,8.0222
85,86,14:34:59,14:35:07,3.2045,8.0198
86,87,14:35:07,14:35:15,3.1936,7.9628
87,88,14:35:15,14:35:23,3.1805,8.0805
88,89,14:35:23,14:35:31,3.1907,7.8675
89,90,14:35:31,14:35:39,3.1969,7.9215
90,91,14:35:39,14:35:47,3.1858,7.9401
91,92,14:35:47,14:35:55,3.1798,7.9681
92,93,14:35:55,14:36:03,3.2014,8.0018
93,94,14:36:03,14:36:11,3.2092,8.0739
94,95,14:36:11,14:36:19,3.1779,7.9118
95,96,14:36:19,14:36:27,3.185,7.9647
96,97,14:36:27,14:36:35,3.189,8.0192
97,98,14:36:35,14:36:43,3.1781,8.0279
98,99,14:36:43,14:36:51,3.1821,7.9774
99,100,14:36:51,14:36:59,3.1992,7.9743
100,101,14:36:59,14:37:07,3.1726,7.9629
101,102,14:37:07,14:37:15,3.1826,8.0467
102,103,14:37:15,14:37:23,3.1894,8.019
103,104,14:37:23,14:37:31,3.1666,7.9869
104,105,14:37:31,14:37:39,3.183,7.9584
105,106,14:37:39,14:37:47,3.1849,8.0584
106,107,14:37:47,14:37:55,3.1875,8.0651
107,108,14:37:55,14:38:03,3.1773,7.927
108,109,14:38:03,14:38:11,3.1756,8.0639
109,110,14:38:11,14:38:19,3.1709,8.0195
110,111,14:38:19,14:38:27,3.1788,8.0516
111,112,14:38:27,14:38:35,3.1953,8.0818
112,113,14:38:35,14:38:43,3.1944,7.9475
113,114,14:38:43,14:38:51,3.181,7.9882
114,115,14:38:51,14:38:59,3.1725,8.0127
