,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,09:53:35,09:53:40,1.0983,5.5843
1,2,09:53:40,09:53:46,1.0902,5.4282
2,4,09:53:51,09:53:57,1.1256,5.528
3,5,09:53:57,09:54:02,1.116,5.375
4,6,09:54:02,09:54:07,1.1371,5.4928
5,7,09:54:07,09:54:13,1.132,5.6045
6,8,09:54:13,09:54:19,1.1202,5.4952
7,9,09:54:19,09:54:24,1.1534,5.6406
8,10,09:54:24,09:54:30,1.1088,5.4191
9,11,09:54:30,09:54:35,1.1074,5.595
10,12,09:54:35,09:54:41,1.1251,5.4949
11,14,09:54:46,09:54:52,1.1216,5.5327
12,15,09:54:52,09:54:57,1.1022,5.4464
13,16,09:54:57,09:55:03,1.1366,5.65
14,17,09:55:03,09:55:09,1.1275,5.6358
15,18,09:55:09,09:55:14,1.1327,5.4401
16,19,09:55:14,09:55:20,1.3223,5.8013
17,20,09:55:20,09:55:25,1.176,5.566
18,21,09:55:25,09:55:31,1.2125,5.5676
19,22,09:55:31,09:55:37,1.2122,5.6279
20,23,09:55:37,09:55:42,1.1236,5.421
21,24,09:55:42,09:55:48,1.1162,5.619
22,25,09:55:48,09:55:53,1.128,5.3494
23,26,09:55:53,09:55:58,1.1343,5.4987
24,27,09:55:58,09:56:04,1.1253,5.5899
25,28,09:56:04,09:56:09,1.1285,5.4137
26,29,09:56:09,09:56:15,1.1281,5.5298
27,30,09:56:15,09:56:21,1.1845,5.5615
28,31,09:56:21,09:56:26,1.116,5.4456
29,32,09:56:26,09:56:32,1.1095,5.6298
30,33,09:56:32,09:56:37,1.1137,5.3317
31,34,09:56:37,09:56:43,1.1232,6.1843
32,35,09:56:43,09:56:49,1.1181,5.4544
33,36,09:56:49,09:56:54,1.1046,5.3874
34,37,09:56:54,09:57:00,1.1336,5.5485
35,38,09:57:00,09:57:05,1.113,5.4076
36,39,09:57:05,09:57:10,1.112,5.3611
37,40,09:57:10,09:57:16,1.1192,5.5917
38,41,09:57:16,09:57:21,1.1183,5.3643
39,42,09:57:21,09:57:27,1.1149,5.4802
40,43,09:57:27,09:57:32,1.1465,5.514
41,44,09:57:32,09:57:38,1.1353,5.3899
42,45,09:57:38,09:57:43,1.1272,5.5271
43,46,09:57:43,09:57:49,1.1289,5.5701
44,47,09:57:49,09:57:54,1.1203,5.4832
45,48,09:57:54,09:58:00,1.1345,5.5031
46,49,09:58:00,09:58:05,1.1131,5.3756
47,50,09:58:05,09:58:11,1.1111,5.5563
48,51,09:58:11,09:58:16,1.3232,5.806
