,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,09:53:37,09:53:45,1.1542,7.559
1,2,09:53:45,09:53:52,1.1482,7.1952
2,3,09:53:52,09:53:58,1.1199,6.3205
3,4,09:53:58,09:54:05,1.1412,6.9054
4,5,09:54:05,09:54:12,1.0941,6.6606
5,6,09:54:12,09:54:18,1.1627,6.1021
6,7,09:54:18,09:54:24,1.1685,6.1674
7,8,09:54:24,09:54:30,1.1931,6.161
8,9,09:54:30,09:54:37,1.1812,6.3245
9,10,09:54:37,09:54:43,1.1942,6.71
10,11,09:54:43,09:54:51,1.2352,7.1016
11,12,09:54:51,09:54:57,1.1606,6.5498
12,13,09:54:57,09:55:03,1.1694,6.3634
13,14,09:55:03,09:55:10,1.1816,6.2768
14,15,09:55:10,09:55:16,1.1329,6.2422
15,16,09:55:16,09:55:23,1.2319,6.495
16,17,09:55:23,09:55:29,1.1638,6.244
17,18,09:55:29,09:55:35,1.1992,6.4605
18,19,09:55:35,09:55:43,1.1623,7.4169
19,20,09:55:43,09:55:49,1.2068,6.57
20,21,09:55:49,09:55:56,1.1164,6.5433
21,22,09:55:56,09:56:02,1.1463,6.6585
22,23,09:56:02,09:56:09,1.1576,6.7256
23,24,09:56:09,09:56:16,1.1001,6.3957
24,25,09:56:16,09:56:22,1.1593,6.9484
25,26,09:56:22,09:56:29,1.2001,6.8352
26,27,09:56:29,09:56:36,1.11,6.513
27,28,09:56:36,09:56:43,1.1262,7.5411
28,29,09:56:43,09:56:50,1.1159,6.6247
29,30,09:56:50,09:56:57,1.2771,7.0864
30,31,09:56:57,09:57:04,1.1341,6.8159
31,32,09:57:04,09:57:11,1.2042,6.6822
32,33,09:57:11,09:57:17,1.1733,6.6557
33,34,09:57:17,09:57:24,1.1189,6.762
34,35,09:57:24,09:57:30,1.1827,6.4295
35,36,09:57:30,09:57:37,1.1372,6.843
36,37,09:57:37,09:57:44,1.1523,6.6923
37,38,09:57:44,09:57:51,1.3139,6.9588
38,39,09:57:51,09:57:58,1.184,6.8366
39,40,09:57:58,09:58:05,1.2445,6.9198
40,41,09:58:05,09:58:11,1.2035,6.6042
41,42,09:58:11,09:58:18,1.1664,6.9589
42,44,09:58:25,09:58:32,1.1494,6.9723
43,45,09:58:32,09:58:39,1.2429,7.117
44,46,09:58:39,09:58:47,1.1606,7.3897
45,47,09:58:47,09:58:54,1.1259,6.9958
46,48,09:58:54,09:59:00,1.1868,6.7891
47,49,09:59:00,09:59:07,1.1755,6.8013
48,50,09:59:07,09:59:14,1.1967,6.878
49,51,09:59:14,09:59:21,1.2106,7.1423
50,52,09:59:21,09:59:28,1.1588,7.2241
51,53,09:59:28,09:59:36,1.0957,7.0949
52,54,09:59:36,09:59:42,1.1253,6.8188
53,55,09:59:42,09:59:49,1.1491,6.9261
54,56,09:59:49,09:59:56,1.0978,6.8211
55,57,09:59:56,10:00:03,1.3325,7.3393
56,58,10:00:03,10:00:12,1.0965,8.3556
57,60,10:00:19,10:00:25,1.1328,6.6853
58,61,10:00:25,10:00:32,1.1135,6.5602
59,62,10:00:32,10:00:38,1.1342,6.3595
60,63,10:00:38,10:00:45,1.1139,6.4944
61,64,10:00:45,10:00:51,1.1011,6.6286
62,65,10:00:51,10:00:58,1.114,6.9048
63,66,10:00:58,10:01:05,1.1334,6.8154
64,67,10:01:05,10:01:12,1.0864,6.6176
65,68,10:01:12,10:01:19,1.1275,7.1609
66,69,10:01:19,10:01:25,1.1145,6.6198
67,70,10:01:25,10:01:32,1.1225,6.8662
68,71,10:01:32,10:01:39,1.1638,6.5694
69,72,10:01:39,10:01:46,1.157,6.9026
70,73,10:01:46,10:01:53,1.1959,6.9168
